ticker,entry_time,exit_time,entry,exit,ret_pct,pnl,reason,proba,win,equity_after,entry_dt,month
CRML,2025-07-24 17:30:00+00:00,2025-07-25 13:30:00+00:00,4.2671,4.137,-3.549,-120.96,stop,0.204,0,16656.3,2025-07-24 17:30:00+00:00,2025-07
SEI,2025-07-24 17:30:00+00:00,2025-07-25 16:30:00+00:00,32.6263,33.0535,0.809,27.58,timeout,0.1795,1,16447.28,2025-07-24 17:30:00+00:00,2025-07
OPEN,2025-07-24 19:30:00+00:00,2025-07-24 19:30:00+00:00,2.4612,2.3862,-3.548,-120.1,stop,0.2597,0,16802.24,2025-07-24 19:30:00+00:00,2025-07
OPEN,2025-07-25 13:30:00+00:00,2025-07-25 13:30:00+00:00,2.5512,2.4734,-3.548,-119.25,stop,0.2597,0,16537.06,2025-07-25 13:30:00+00:00,2025-07
CRML,2025-07-25 14:30:00+00:00,2025-07-25 14:30:00+00:00,4.3534,4.2207,-3.548,-117.36,stop,0.204,0,16419.69,2025-07-25 14:30:00+00:00,2025-07
NVTS,2025-07-25 14:30:00+00:00,2025-07-25 17:30:00+00:00,8.9645,8.6912,-3.549,-117.36,stop,0.1936,0,16329.91,2025-07-25 14:30:00+00:00,2025-07
SMR,2025-07-25 14:30:00+00:00,2025-07-28 13:30:00+00:00,50.5453,50.0749,-1.43,-47.31,timeout,0.1795,0,16087.01,2025-07-25 14:30:00+00:00,2025-07
OKLO,2025-07-25 14:30:00+00:00,2025-07-28 13:30:00+00:00,74.007,72.5937,-2.41,-79.7,timeout,0.1795,0,16134.32,2025-07-25 14:30:00+00:00,2025-07
IOVA,2025-07-25 15:30:00+00:00,2025-07-28 13:30:00+00:00,3.0615,3.3048,7.446,244.52,target,0.2275,1,16331.53,2025-07-25 15:30:00+00:00,2025-07
OPEN,2025-07-25 17:30:00+00:00,2025-07-28 13:30:00+00:00,2.3962,2.5866,7.446,244.93,target,0.2275,1,16576.47,2025-07-25 17:30:00+00:00,2025-07
